#CpG,Coefficient estimate (slope),Standard error,p value,Bonferroni p,q value (FDR),Gene
cpg,beta,std.err,p.value,bonferroni,fdr,gene
cg04347477,-0.0036924009,0.0001912047,1.74E-71,8.24E-66,5.78E-66,NCOR2
cg08943494,-0.004305263,0.0002238545,5.38E-71,2.55E-65,8.95E-66,PRR5L
cg04685228,-0.0026254843,0.0001431942,1.76E-65,8.34E-60,1.95E-60,NA
cg26027170,-0.0018924234,0.000104199,1.98E-64,9.37E-59,1.64E-59,NA
cg18623216,-0.0033616153,0.00018877,2.64E-62,1.25E-56,1.76E-57,PLCH1
cg02430430,-0.0023810607,0.0001348928,2.27E-61,1.07E-55,1.11E-56,CCDC33
cg17133774,-0.0029759533,0.0001686158,2.34E-61,1.11E-55,1.11E-56,CHD5
cg11932158,-0.0028684655,0.0001646003,4.87E-60,2.31E-54,2.02E-55,PLCH1
cg16103712,-0.0034699731,0.0002051794,5.08E-57,2.41E-51,1.88E-52,MATN2
cg08817867,-0.0030270467,0.0001804749,3.26E-56,1.54E-50,1.08E-51,NA
cg19439123,-0.0024960836,0.0001522096,4.57E-54,2.17E-48,1.38E-49,RAI1
cg07835443,-0.003213472,0.0001963485,7.04E-54,3.33E-48,1.95E-49,SPATA33
cg12713583,-0.0027674523,0.0001694181,1.06E-53,5.01E-48,2.71E-49,ARID3A
cg08412913,-0.0021125062,0.0001301837,4.35E-53,2.06E-47,1.03E-48,NA
cg11934771,-0.001855192,0.0001151866,2.11E-52,9.98E-47,4.60E-48,HCG22
cg04411893,-0.00141162,8.77E-05,2.21E-52,1.05E-46,4.60E-48,NA
cg02001279,-0.0021566673,0.0001343253,4.06E-52,1.92E-46,7.94E-48,ARID3A
cg21926626,-0.0023045007,0.0001438871,6.77E-52,3.21E-46,1.25E-47,TSNARE1
cg16725984,-0.0033438213,0.0002112852,7.87E-51,3.73E-45,1.38E-46,SPATA33
cg00220721,-0.0032004112,0.000202767,1.36E-50,6.43E-45,2.26E-46,PRR5L
cg00442282,-0.0014221668,9.07E-05,4.68E-50,2.22E-44,7.41E-46,RARA
cg19115490,-0.0011847685,7.56E-05,6.29E-50,2.98E-44,9.51E-46,NA
cg27295118,-0.0026937163,0.0001754422,3.24E-48,1.53E-42,4.68E-44,NA
cg19744173,-0.0015881091,0.0001037301,5.63E-48,2.67E-42,7.80E-44,FBLN7
cg06870470,-0.0029004901,0.0001902647,1.28E-47,6.08E-42,1.71E-43,DOCK6
cg20334115,-0.0031129858,0.0002045833,1.83E-47,8.68E-42,2.34E-43,PYCR2
cg26077811,0.0018948742,0.000124564,1.93E-47,9.14E-42,2.38E-43,USP2
cg01154283,-0.0016440022,0.0001089231,8.54E-47,4.05E-41,1.01E-42,CRIM1
cg11882607,-0.0016261999,0.0001082002,1.89E-46,8.96E-41,2.17E-42,CAND2
cg11854981,-0.0022875616,0.000153911,1.50E-45,7.09E-40,1.66E-41,TRERF1
cg08576185,-0.0019987788,0.0001350141,3.09E-45,1.46E-39,3.31E-41,ZNF598
cg23009780,0.0014533185,9.83E-05,4.24E-45,2.01E-39,4.40E-41,NA
cg22117805,-0.0033073719,0.0002254952,1.67E-44,7.89E-39,1.68E-40,PRR5L
cg12697139,-0.002538234,0.0001734583,2.53E-44,1.20E-38,2.47E-40,NA
cg01229865,-0.0021574815,0.0001477987,3.91E-44,1.85E-38,3.72E-40,ATP11A
cg08282819,-0.0023017025,0.0001578074,4.52E-44,2.14E-38,4.17E-40,IL21R
cg20112500,-0.0015390777,0.0001055366,4.65E-44,2.20E-38,4.17E-40,HCG22
cg20068209,-0.00252285,0.000173252,6.05E-44,2.87E-38,5.29E-40,TMEM30A
cg11436362,-0.0018429918,0.0001267371,7.71E-44,3.65E-38,6.57E-40,ADRBK1
cg02017450,-0.0031220772,0.0002159408,2.14E-43,1.01E-37,1.78E-39,NA
cg05283597,-0.0023127941,0.0001612362,8.49E-43,4.02E-37,6.89E-39,ITIH1
cg27448161,-0.0011797936,8.23E-05,9.23E-43,4.37E-37,7.31E-39,SPRYD3
cg25551168,-0.0016533634,0.0001155401,1.28E-42,6.09E-37,9.93E-39,AVP
cg24020157,-0.0020924838,0.0001468842,2.78E-42,1.32E-36,2.10E-38,RASGEF1A
cg22828383,-0.0020117582,0.0001421963,9.01E-42,4.27E-36,6.66E-38,NCOR2
cg07136133,-0.0029334234,0.0002074178,9.59E-42,4.54E-36,6.93E-38,PRR5L
cg03047995,-0.0019240464,0.000136362,1.42E-41,6.72E-36,1.00E-37,FITM1
cg02983090,-0.0023969874,0.0001705609,2.78E-41,1.31E-35,1.92E-37,IL21R
cg07810039,-0.0022919697,0.0001632369,3.23E-41,1.53E-35,2.19E-37,TGFB2
cg07738730,0.0019463301,0.0001395153,9.43E-41,4.47E-35,6.23E-37,IGF2BP1
cg05969150,-0.0018547563,0.0001329618,9.56E-41,4.53E-35,6.23E-37,ZFHX3
cg16536918,-0.0017860492,0.0001280777,1.01E-40,4.77E-35,6.40E-37,AVP
cg23378033,-0.0022844633,0.0001638315,1.02E-40,4.84E-35,6.40E-37,MSRB3
cg09915396,-0.0019645695,0.0001411843,1.44E-40,6.82E-35,8.87E-37,RAP1GAP2
cg00522276,-0.0020373762,0.0001464798,1.55E-40,7.32E-35,9.35E-37,NA
cg00119811,-0.0012703153,9.15E-05,2.23E-40,1.06E-34,1.33E-36,ARHGEF28
cg27518892,-0.0016119086,0.0001164098,3.22E-40,1.52E-34,1.88E-36,CCDC102A
cg07807026,-0.0015593003,0.0001127021,3.68E-40,1.74E-34,2.11E-36,NA
cg01787084,-0.0024215553,0.0001750978,3.94E-40,1.87E-34,2.19E-36,FBXO31
cg01429256,-0.0011987338,8.67E-05,3.95E-40,1.87E-34,2.19E-36,RAI1
cg27504369,-0.0019382086,0.0001411423,1.24E-39,5.87E-34,6.75E-36,APOBEC3A
cg00481600,-0.0015245946,0.0001112558,1.74E-39,8.22E-34,9.24E-36,CILP
cg01799671,-0.002501999,0.0001825908,1.75E-39,8.29E-34,9.24E-36,CMIP
cg05211189,-0.0020679565,0.0001509856,1.89E-39,8.94E-34,9.80E-36,ZNF598
cg04416898,-0.0018863966,0.0001385604,4.93E-39,2.33E-33,2.52E-35,CXXC5
cg10535320,-0.0013903663,0.0001028499,1.50E-38,7.11E-33,7.57E-35,PSMC5
cg03940776,-0.0017122449,0.000126778,1.74E-38,8.23E-33,8.62E-35,SYNJ2
cg03747456,-0.0018062738,0.0001337945,1.85E-38,8.77E-33,9.05E-35,KRT80
cg15540623,-0.0019258122,0.0001428671,2.35E-38,1.11E-32,1.13E-34,ACVR1B
cg04160501,-0.0011755921,8.74E-05,3.30E-38,1.56E-32,1.57E-34,FOXK1
cg19265300,-0.0014870131,0.0001109637,5.85E-38,2.77E-32,2.74E-34,NA
cg04902474,-0.0015310758,0.0001142999,6.24E-38,2.96E-32,2.88E-34,KIAA1522
